bereich,bereich_ordner,inhaltsfeld,inhaltsfeld_ordner,thema,themenordner,status,hauptquelle
Klasse 6,klasse-6,Arithmetik/Algebra,01-arithmetik-algebra,"Teilbarkeit, Primzahlen, Primfaktorzerlegung, Teilbarkeitsregeln",01-teilbarkeit-primzahlen-und-primfaktorzerlegung,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Arithmetik/Algebra,01-arithmetik-algebra,"Brüche, endliche und periodische Dezimalzahlen, Prozentdarstellung",02-positive-rationale-zahlen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Arithmetik/Algebra,01-arithmetik-algebra,Grundrechenarten mit einfachen Brüchen und endlichen Dezimalzahlen,03-rechnen-mit-bruechen-und-dezimalzahlen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Arithmetik/Algebra,01-arithmetik-algebra,Darstellung ganzer Zahlen und Zahlbereichserweiterung,04-ganze-zahlen-und-zahlbereichserweiterung,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Funktionen,02-funktionen,"Abhängigkeiten zwischen Größen in Wort, Tabelle, Diagramm und Termansätzen",01-groessenabhaengigkeiten-und-tabellen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Funktionen,02-funktionen,Proportionale Zusammenhänge und Dreisatz als vorbereitende Zuordnung,02-proportionale-grundideen-und-dreisatz,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Geometrie,03-geometrie,"Quader und Würfel; Netze, Oberfläche und Volumen",01-quader-oberflaeche-und-volumen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Geometrie,03-geometrie,"Winkel, Kreis, Zeichnen und einfache Konstruktionen",02-winkel-kreise-und-konstruktionen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Geometrie,03-geometrie,"Achsensymmetrie, Punktsymmetrie und einfache Abbildungen",03-symmetrie-und-abbildungen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Stochastik,04-stochastik,Absolute und relative Häufigkeiten vergleichen und interpretieren,01-relative-haeufigkeiten,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 6,klasse-6,Stochastik,04-stochastik,"Einfache Zufallsexperimente, Ergebnis/Ereignis, empirische Wahrscheinlichkeit",02-einfache-zufallsexperimente-und-wahrscheinlichkeit,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Arithmetik/Algebra,01-arithmetik-algebra,Rationale Zahlen; Zahlengerade; Vorzeichenregeln; Rechengesetze,01-rationale-zahlen-und-vorzeichenregeln,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Arithmetik/Algebra,01-arithmetik-algebra,"Variable als Veränderliche, Platzhalter und Unbekannte; Terme umformen",02-terme-variablen-und-termumformungen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Arithmetik/Algebra,01-arithmetik-algebra,Lineare Gleichungen algebraisch lösen und im Kontext deuten,03-lineare-gleichungen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Funktionen,02-funktionen,Proportionale und antiproportionale Zuordnungen; Darstellungen und Dreisatz,01-proportionale-und-antiproportionale-zuordnungen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Funktionen,02-funktionen,"Prozentrechnung, prozentuale Veränderung und Zinsrechnung",02-prozent-und-zinsrechnung,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Geometrie,03-geometrie,"Neben-, Scheitel-, Stufen- und Wechselwinkel; geometrisch argumentieren",01-winkelbeziehungen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Geometrie,03-geometrie,Dreiecke konstruieren; Kongruenzsätze; eindeutige Konstruierbarkeit,02-dreieckskonstruktionen-und-kongruenz,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Geometrie,03-geometrie,Innenwinkelsumme im Dreieck und in Vielecken; Begründen und Anwenden,03-innenwinkelsummen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Stochastik,04-stochastik,Laplace-Experimente und Wahrscheinlichkeiten,01-laplace-wahrscheinlichkeit,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 7,klasse-7,Stochastik,04-stochastik,"Mehrstufige Zufallsexperimente, Baumdiagramme und erste Pfadregeln",02-baumdiagramme-und-pfadregeln-einstieg,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 8,klasse-8,Arithmetik/Algebra,01-arithmetik-algebra,"Termumformungen, Rechengesetze und binomische Formeln",01-termumformungen-und-binomische-formeln,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 8,klasse-8,Arithmetik/Algebra,01-arithmetik-algebra,Lineare Gleichungssysteme mit zwei Variablen; algebraische und grafische Verfahren,02-lineare-gleichungssysteme,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 8,klasse-8,Arithmetik/Algebra,01-arithmetik-algebra,Bruchterme und elementare Bruchgleichungen,03-bruchterme-und-elementare-bruchgleichungen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 8,klasse-8,Funktionen,02-funktionen,"Lineare Funktionen; Steigung, Achsenabschnitt, Darstellungswechsel, Modellieren",01-lineare-funktionen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 8,klasse-8,Funktionen,02-funktionen,Schnittpunkte linearer Funktionen als Lösung von LGS,02-funktionen-und-lineare-gleichungssysteme,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 8,klasse-8,Geometrie,03-geometrie,Flächenberechnungen an Vielecken; Prismen und zusammengesetzte Figuren/Körper,01-vielecke-flaechen-und-prismen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 8,klasse-8,Geometrie,03-geometrie,"Konstruktion, Begründung und digitale Geometriewerkzeuge",02-geometrisches-argumentieren-und-konstruieren,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 8,klasse-8,Stochastik,04-stochastik,Mehrstufige Zufallsexperimente; Baumdiagramme; Produkt- und Summenregel,01-mehrstufige-zufallsexperimente-und-pfadregeln,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 8,klasse-8,Stochastik,04-stochastik,Daten darstellen und beurteilen; Quartile und Boxplots,02-datenanalyse-und-boxplots,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Arithmetik/Algebra,01-arithmetik-algebra,"Reelle Zahlen, Quadratwurzeln und Irrationalität",01-reelle-zahlen-und-wurzeln,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Arithmetik/Algebra,01-arithmetik-algebra,"Potenzen, Potenzgesetze und Zahlendarstellungen",02-potenzen-und-potenzgesetze,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Arithmetik/Algebra,01-arithmetik-algebra,Quadratische Gleichungen und Lösungsverfahren,03-quadratische-gleichungen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Funktionen,02-funktionen,"Quadratische Funktionen; Normalparabel, Transformationen, Eigenschaften",01-quadratische-funktionen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Funktionen,02-funktionen,"Nullstellen, Scheitelpunkt und Anwendungen quadratischer Funktionen",02-nullstellen-und-modellierung,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Geometrie,03-geometrie,"Satz des Pythagoras, Umkehrung und Anwendungen in Ebene und Raum",01-satz-des-pythagoras,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Geometrie,03-geometrie,Ähnlichkeit und zentrische Streckung,02-aehnlichkeit-und-zentrische-streckung,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Geometrie,03-geometrie,Strahlensätze und Anwendungen,03-strahlensaetze,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Stochastik,04-stochastik,"Datenerhebungen, Kennwerte und Streuung beschreiben und vergleichen",01-statistische-daten-und-kennwerte,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 9,klasse-9,Stochastik,04-stochastik,"Diagramme, Skalierungen und mögliche Manipulationen kritisch beurteilen",02-statistische-darstellungen-kritisch-bewerten,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Arithmetik/Algebra,01-arithmetik-algebra,Potenzgesetze; Potenzen mit rationalen Exponenten,01-potenzgesetze-und-rationale-exponenten,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Arithmetik/Algebra,01-arithmetik-algebra,Exponentielle Gleichungen und Logarithmus als Umkehroperation,02-exponentielle-gleichungen-und-logarithmus-einstieg,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Funktionen,02-funktionen,Exponentielle Funktionen; Wachstums- und Zerfallsprozesse,01-exponentielle-funktionen-und-wachstum,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Funktionen,02-funktionen,Sinus- und Kosinusfunktion; periodische Vorgänge und Einheitskreis,02-sinus-und-kosinusfunktionen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Funktionen,02-funktionen,"Lineare, quadratische und exponentielle Modelle vergleichen und anwenden",03-funktionsvergleich-und-modellierung,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Geometrie,03-geometrie,"Sinus, Kosinus und Tangens im rechtwinkligen Dreieck",01-trigonometrie-im-rechtwinkligen-dreieck,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Geometrie,03-geometrie,Kosinussatz und Anwendungen,02-kosinussatz,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Geometrie,03-geometrie,"Kreisumfang, Kreisfläche, Kreisbogen, Kreissektor und Tangente",03-kreise-kreisboegen-und-kreissektoren,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Geometrie,03-geometrie,"Kugel, Zylinder, Prisma, Kegel, Pyramide; Oberfläche und Volumen",04-koerper-oberflaeche-und-volumen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Stochastik,04-stochastik,Bedingte Wahrscheinlichkeit und Vierfeldertafel,01-bedingte-wahrscheinlichkeit-und-vierfeldertafel,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Stochastik,04-stochastik,Stochastische Unabhängigkeit prüfen und interpretieren,02-stochastische-unabhaengigkeit,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Stochastik,04-stochastik,Baumdiagramme und Pfadregeln bei mehrstufigen Zufallsexperimenten,03-baumdiagramme-und-pfadregeln,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 10,klasse-10,Stochastik,04-stochastik,"Statistische Daten, Erhebungen und Darstellungen kritisch beurteilen",04-statistische-daten-und-manipulation,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Einführungsphase (EF),ef,Funktionen und Analysis,01-funktionen-und-analysis,Potenzfunktionen mit ganzzahligen Exponenten und ganzrationale Funktionen,01-potenz-und-ganzrationale-funktionen,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Funktionen und Analysis,01-funktionen-und-analysis,"Graphenverlauf, Definitions-/Wertebereich, Nullstellen, Symmetrie, Verhalten im Unendlichen; Spiegelung/Verschiebung/Streckung",02-funktionseigenschaften-und-transformationen,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Funktionen und Analysis,01-funktionen-und-analysis,Mittlere und lokale Änderungsrate; Sekante und Tangente,03-mittlere-und-lokale-aenderungsraten,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Funktionen und Analysis,01-funktionen-und-analysis,Grundverständnis des Ableitungsbegriffs und graphisches Ableiten,04-ableitungsbegriff-und-graphisches-ableiten,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Funktionen und Analysis,01-funktionen-und-analysis,"Potenz-, Summen- und Faktorregel; Monotonie, Extrema, Krümmung, Wendepunkte",05-differentialrechnung-ganzrationaler-funktionen,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,"Punkte, Ortsvektoren und Vektoren im Raum",01-koordinatisierung-des-raumes,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,"Addition, skalare Multiplikation, Länge und Kollinearität",02-vektoroperationen-und-eigenschaften,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,Geraden und Strecken in Parameterform,03-geraden-und-strecken-in-parameterform,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,"Identisch, parallel, windschief, sich schneidend; Schnittpunkte von Geraden",04-lagebeziehungen-und-schnittpunkte-von-geraden,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Stochastik,03-stochastik,"Urnenmodelle, Baumdiagramme und Pfadregeln",01-mehrstufige-zufallsexperimente,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Stochastik,03-stochastik,Vierfeldertafeln und bedingte Wahrscheinlichkeiten,02-vierfeldertafeln-und-bedingte-wahrscheinlichkeit,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Einführungsphase (EF),ef,Stochastik,03-stochastik,Stochastische Unabhängigkeit in mehrstufigen Situationen,03-stochastische-unabhaengigkeit,KLP 2023 – Einführungsphase,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Funktionen und Analysis,01-funktionen-und-analysis,Ganzrationale Funktionen und Exponentialfunktionen; Eigenschaften und Transformationen,01-ganzrationale-und-exponentialfunktionen,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Funktionen und Analysis,01-funktionen-und-analysis,Produktregel; einfache Verkettungen der natürlichen Exponentialfunktion mit linearen Funktionen,02-produktregel-und-zusammengesetzte-funktionen,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Funktionen und Analysis,01-funktionen-und-analysis,Extremwertprobleme und Rekonstruktion von Funktionstermen,03-extremwertprobleme-und-steckbriefaufgaben,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Funktionen und Analysis,01-funktionen-und-analysis,"Exponentialfunktionen, natürliche Exponentialfunktion, Wachstum und Zerfall",04-exponentialfunktionen-wachstum-und-zerfall,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Funktionen und Analysis,01-funktionen-und-analysis,"Produktsummen, orientierte Fläche, Bestands- und Integralfunktion",05-integralbegriff-produktsumme-und-orientierte-flaeche,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Funktionen und Analysis,01-funktionen-und-analysis,"Stammfunktion, bestimmtes Integral und Hauptsatz der Differential- und Integralrechnung",06-stammfunktionen-bestimmtes-integral-und-hauptsatz,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,"Skalarprodukt, Orthogonalität, Winkel zwischen Vektoren",01-skalarprodukt-und-winkel,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
